Sujet mail,Club,Date,Particularité,Date limite,Seniors M,Seniors F,Loisir,U21M,U18M,U18F,U17M,U17F,U15M,U15F,U13M,U13F,U11M,U11F,U9M,U9F,U7
Tournoi de début saison USCBM,USCBM,14/09/2024,,,,,,,,,,,D2-D3,D2-D3,D2-D3,D2-D3,,,,,
Tournoi de début saison USCBM,USCBM,15/09/2024,,,,,,,D2-D3,D2-D3,,,,,,,,,,,
Invitation au tournoi seniors de l'Elan Basket des Sorinières,Elan Basket des Sorinières,08/09/2024,,,D2-D3,PRF-D2 ,,,,,,,,,,,,,,,
Tournoi Halloween 02 novembre U9 et U11 Vaillante Immaculée Basket,Vaillante Immaculée Saint-Nazaire Basket,02/11/2024,,,,,,,,,,,,,,,D1 D3,D2 D3,Bleu,Bleu,
"MGBB, Invitation tournoi Halloween U11 et U13",MGBB (Montbert Geneston le Bignon),26/10/2024,,,,,,,,,,,,,X,X,X,X,,,
Invitation tournoi,Chabossière,26/10/2024,,,,,,,,,,,,,,,X,X,X,X,
Invitation tournoi,Chabossière,27/10/2024,,10/10/2024,,,,,,,,,X,X,X,X,,,,,
TOURNOI HALLOWEEN 2024,AS Saffré,02/11/2024,,,,,X,,,,,,X,,,X,X,X,X,X,X
TOURNOI U9 Blanc et U11 D2 et D3 4 Janvier au Loroux Bottereau,Loroux Bottereau,04/01/2025,,,,,,,,,,,,,,,D2 D3,D2 D3,Blanc,Blanc,
INDRE BC : Invitation à notre tournoi des titis d'Halloween 2024 (U7 à U11),Indre,26/10/2024,,19/10/2024,,,,,,,,,,,,,D1 D2 D3,D1 D2 D3,Bleu Blanc Rouge Orange,Bleu Blanc Rouge Orange,X
Ecole de basket Sion-les-Mines : recherche matchs amicaux et organisation d'un tournoi de Noël,Sion-les-Mines,14/12/2024,,,,,,,,,,,,,,,,,,,X
Tournoi Halloween 2024 ABC 3 Rivières,St Gildas des bois,02/11/2024,,,,,,,,,,,,,X,X,X,X,X,X,
PMBC - Tournoi Halloween 20 octobre – U9-U11,Petit-Mars,20/10/2024,,,,,,,,,,,,,,,X,X,X,X,
Tournoi Halloween FLUO Party,Saint André,02/11/2024,,,3x3,3x3,,,,,,,3x3,3x3,3x3,3x3,,,,,
Tournoi de la mie caline U15M,Pontivy,27/10/2024,,,,,,,,,,,Région,,,,,,,,
Tournoi de Noël BASKET CLUB REZE,Rezé,14/12/2024,,30/11/2024,,,,,,,,,,,,,D1 D2 D3,D1 D2 D3,,,
Weekend Tournoi 25 et 26 octobre 2024 - BRAINS – Loisirs/Seniors/U18,Brains,25/10/2024,,,,,X,,,,,,,,,,,,,,
Weekend Tournoi 25 et 26 octobre 2024 - BRAINS – Loisirs/Seniors/U18,Brains,26/10/2024,,,D3 D4,D2 D3,,,,X,,,,,,,,,,,
Tournoi Halloween de l'Hirondelle Basket,Saint Julien de Concelles,02/11/2024,,15/10/2024,,,,,,,,,,,,,D2 D3,D2 D3,Blanc Rouge,Blanc Rouge,X
Invitation Tournoi de Noël - Les 14 et 15 Décembre - SCO ORVAULT - de U9 à Loisirs,Orvault,14/12/2024,,,,,Mixte,X,X,,,,,,,,X,,X,X,
Invitation Tournoi de Noël - Les 14 et 15 Décembre - SCO ORVAULT - de U9 à Loisirs,Orvault,15/12/2024,,15/11/2024,,,,,,,,,X,,X,,,,,,
Tournoi U11 Bask'FEST Christmas - 2ème édition,Essart en Bocage (85),14/12/2024,,,,,,,,,,,,,,,X,X,,,
Fwd: TOURNOI HALLOWEEN U9/U11/U13- BLAIN - SAMEDI 02 NOVEMBRE 2024,Blain,02/11/2024,,20/10/2024,,,,,,,,,,,D1 D2/D3,D3,D3,D3,Blanc,Blanc,
Vos petits monstres sont-ils prêts ?,Logne,02/11/2024,,,,,,,,,,,,,,,X,X,Blanc Orange Rouge,Blanc Orange Rouge,X
Tournoi Halloween 2024 ABC 3 Rivières,ABC Trois rivières (St Gildas des bois),02/11/2024,,,,,,,,,,,,,X,X,X,X,X,X,
INVITATION TOURNOI 3X3 HALLOWEEN (GRATUIT) SAMEDI 26 OCTOBRE 2024 à 20H30,ALPCM NANTES BASKET,26/10/2024,20h30,,3x3,3x3,3x3,3x3,3x3,3x3,3x3,3x3,3x3,3x3,3x3,3x3,,,,,
